ID,Date,Avg_price,Avg Sold Price,Days on Market,Price_index
1,2024-02-01,961950,1013723,12,125
2,2024-01-01,934450,945113,24,125
3,2023-12-01,922973,902249,27,125
4,2023-11-01,951825,946875,16,125
5,2023-10-01,958486,974100,14,126
6,2023-09-01,980500,1013750,12,126
7,2023-08-01,931224,977010,12,126
8,2023-07-01,967222,1016250,11,126
9,2023-06-01,966975,1056625,9,126
10,2023-05-01,984675,1086975,9,126
11,2023-04-01,989450,1066375,9,126
12,2023-03-01,956600,995902,9,127
13,2023-02-01,984224,996921,11,127
14,2023-01-01,920625,932700,14,127
15,2022-12-01,912300,920625,20,127
16,2022-11-01,936975,940375,13,127
17,2022-10-01,964237,964125,13,127
18,2022-09-01,962562,957500,13,127
19,2022-08-01,929461,939625,15,128
20,2022-07-01,971362,955026,15,128
21,2022-06-01,1008075,1023000,10,128
22,2022-05-01,1016350,1084562,8,127
23,2022-04-01,1030700,1121717,7,127
24,2022-03-01,1003986,1162272,6,127
25,2022-02-01,989025,1188250,6,126
26,2022-01-01,977562,1142625,6,125
27,2021-12-01,918446,1033750,9,124
28,2021-11-01,915112,1034812,8,124
29,2021-10-01,943225,1027000,8,123
30,2021-09-01,909450,1007625,7,121
31,2021-08-01,893420,952000,10,121
32,2021-07-01,896737,955812,9,120
33,2021-06-01,903096,976937,8,119
34,2021-05-01,897525,988500,7,119
35,2021-04-01,895725,1001975,6,117
36,2021-03-01,883975,996500,6,115
37,2021-02-01,886350,981100,7,114
38,2021-01-01,885725,936037,11,112
39,2020-12-01,848825,875000,16,111
40,2020-11-01,843937,870225,12,110
41,2020-10-01,831750,859500,11,110
42,2020-09-01,833975,875595,10,109
43,2020-08-01,823175,877475,9,108
44,2020-07-01,861975,904125,9,107
45,2020-06-01,878450,918437,8,107
46,2020-05-01,842935,864450,11,107
47,2020-04-01,807912,818750,12,106
48,2020-03-01,786950,878600,6,106
49,2020-02-01,844810,912784,7,106