ID,Info Date,Toronto population,Toronto population growth,Household income
1,2024-02-24,6431430,29736,74000
2,2024-01-24,6431430,29736,74000
3,2023-12-23,6371958,4915,74000
4,2023-11-23,6371958,4915,74000
5,2023-10-23,6371958,4915,74000
6,2023-09-23,6371958,4915,74000
7,2023-08-23,6371958,4915,74000
8,2023-07-23,6371958,4915,74000
9,2023-06-23,6371958,4915,74000
10,2023-05-23,6371958,4915,74000
11,2023-04-23,6371958,4915,74000
12,2023-03-23,6371958,4915,74000
13,2023-02-23,6371958,4915,74000
14,2023-01-23,6371958,4915,74000
15,2022-12-22,6312974,4866,76000
16,2022-11-22,6312974,4866,76000
17,2022-10-22,6312974,4866,76000
18,2022-09-22,6312974,4866,76000
19,2022-08-22,6312974,4866,76000
20,2022-07-22,6312974,4866,76000
21,2022-06-22,6312974,4866,76000
22,2022-05-22,6312974,4866,76000
23,2022-04-22,6312974,4866,76000
24,2022-03-22,6312974,4866,76000
25,2022-02-22,6312974,4866,76000
26,2022-01-22,6312974,4866,76000
27,2021-12-21,6254571,4820,74000
28,2021-11-21,6254571,4820,74000
29,2021-10-21,6254571,4820,74000
30,2021-09-21,6254571,4820,74000
31,2021-08-21,6254571,4820,74000
32,2021-07-21,6254571,4820,74000
33,2021-06-21,6254571,4820,74000
34,2021-05-21,6254571,4820,74000
35,2021-04-21,6254571,4820,74000
36,2021-03-21,6254571,4820,74000
37,2021-02-21,6254571,4820,74000
38,2021-01-21,6254571,4820,74000
39,2020-12-20,6196731,4777,74000
40,2020-11-20,6196731,4777,74000
41,2020-10-20,6196731,4777,74000
42,2020-09-20,6196731,4777,74000
43,2020-08-20,6196731,4777,74000
44,2020-07-20,6196731,4777,74000
45,2020-06-20,6196731,4777,74000
46,2020-05-20,6196731,4777,74000
47,2020-04-20,6196731,4777,74000
48,2020-03-20,6196731,4777,74000
49,2020-02-20,6196731,4777,74000