Date,Avg_price,Avg Sold Price,Days on Market,Price_index
2024-02-01,1099000,1212893,8,125
2024-01-01,1050000,1130000,10,125
2023-12-01,999950,1000000,21,125
2023-11-01,1099000,1100000,13,125
2023-10-01,1097000,1155000,8,126
2023-09-01,1089500,1200000,7,126
2023-08-01,999999,1115000,8,126
2023-07-01,1098500,1200500,8,126
2023-06-01,1099900,1300000,7,126
2023-05-01,1098800,1305000,7,126
2023-04-01,1099000,1255000,7,126
2023-03-01,1068000,1166111,7,127
2023-02-01,1149000,1190000,8,127
2023-01-01,999000,1080000,8,127
2022-12-01,999000,1055000,16,127
2022-11-01,1099000,1100000,10,127
2022-10-01,1100000,1150000,9,127
2022-09-01,1024000,1050000,8,127
2022-08-01,999900,1029000,11,128
2022-07-01,1099000,1105000,13,128
2022-06-01,1188900,1205000,8,128
2022-05-01,1139000,1275000,7,127
2022-04-01,1188000,1320000,7,127
2022-03-01,1149000,1400089,6,127
2022-02-01,1099000,1400089,6,126
2022-01-01,1132000,1382500,6,125
2021-12-01,1000000,1224000,7,124
2021-11-01,1025000,1230000,7,124
2021-10-01,1089000,1210000,7,123
2021-09-01,999900,1194000,6,121
2021-08-01,995000,1088000,8,121
2021-07-01,999000,1100000,8,120
2021-06-01,1014500,1182750,7,119
2021-05-01,999900,1185000,7,119
2021-04-01,999000,1200000,6,117
2021-03-01,999000,1179000,6,115
2021-02-01,999000,1170000,6,114
2021-01-01,995000,1118000,7,112
2020-12-01,989000,1052000,9,111
2020-11-01,998000,1048000,7,110
2020-10-01,989000,1020000,8,110
2020-09-01,949900,1033880,7,109
2020-08-01,949800,1050000,7,108
2020-07-01,999000,1085000,7,107
2020-06-01,1049900,1163750,6,107
2020-05-01,982450,1050000,7,107
2020-04-01,999000,1040000,8,106
2020-03-01,899900,1060300,6,106
2020-02-01,939400,1060013,7,106